"What does 'agriculture' refer to?","The science or practice of farming, including cultivation of the soil for growing crops."
"What is an 'aide'?","A person who helps another person, particularly in a professional or official capacity."
"What does 'AIDS' stand for?","Acquired Immunodeficiency Syndrome."
"What does 'albeit' mean?","Although; even if."
"What does 'alert' mean?","Quick to notice any unusual and potentially dangerous or difficult circumstances."
"What is an 'alien'?","A foreigner, especially one who is not a naturalized citizen of the country where they are living."
"What does 'align' mean?","To place or arrange things in a straight line."
"What is 'alignment'?","The arrangement in a straight line, or in correct relative positions."
"What does 'alike' mean?","Similar to each other."
"What is an 'allegation'?","A claim or assertion that someone has done something illegal or wrong."
"What does 'allege' mean?","To claim or assert that someone has done something illegal or wrong."
"What does 'allegedly' mean?","According to what has been claimed."
"What is an 'alliance'?","A union or association formed for mutual benefit."
"What does 'allocate' mean?","To distribute resources or duties for a particular purpose."
"What is 'allocation'?","The action or process of allocating or distributing something."
"What is an 'allowance'?","A sum of money given regularly to a person, often for a specific purpose."
"What is an 'ally'?","A state formally cooperating with another for a military or other purpose."
"What does 'alongside' mean?","Next to or at the side of."
"What does 'altogether' mean?","Completely; totally."
"What is 'aluminium'?","A lightweight, silvery-white metallic element used in various applications."
"What does 'amateur' mean?","A person who engages in a pursuit, especially a sport, on an unpaid basis."
"What is an 'ambassador'?","An accredited diplomat sent by a country as its official representative to a foreign country."
"What is an 'ambulance'?","A vehicle equipped for taking sick or injured people to and from the hospital."
"What does 'amend' mean?","To make changes to a document or law."
"What is an 'amendment'?","A change or addition designed to improve a text, piece of legislation, etc."
"What does 'amid' mean?","In the middle of or surrounded by."
"What does 'amusing' mean?","Causing laughter or providing entertainment."
"What is an 'analogy'?","A comparison between two things, typically for the purpose of explanation or clarification."
"What is an 'analyst'?","A person who analyzes or interprets data or information."
"What does 'astonishing' mean?","Extremely surprising or impressive; amazing."
"What is an 'ancestor'?","A person, typically one more remote than a grandparent, from whom one is descended."
"What is an 'anchor'?","A heavy object attached to a cable or chain and used to moor a vessel to the sea bottom."
"What is an 'angel'?","A spiritual being believed to act as a messenger of God."
"What is 'animation'?","The state of being full of life or vigor; liveliness."
"What does 'annually' mean?","Once a year; every year."
"What does 'anonymous' mean?","Not identified by name; of unknown name."
"What does 'anticipate' mean?","To expect or predict."
"What is 'anxiety'?","A feeling of worry, nervousness, or unease about something with an uncertain outcome."
"What is an 'apology'?","A regretful acknowledgment of an offense or failure."
"What is 'apparatus'?","The equipment needed for a particular activity or purpose."
"What does 'appealing' mean?","Attractive or interesting."
"What is 'appetite'?","A natural desire to satisfy a bodily need, especially for food."
"What does 'applaud' mean?","To show approval or praise by clapping."
"What does 'applicable' mean?","Relevant or appropriate."
"What is an 'applicant'?","A person who makes a formal application for something, typically a job."
"What does 'appoint' mean?","To assign a job or role to someone."
"What is 'appreciation'?","Recognition and enjoyment of the good qualities of someone or something."
"What is the meaning of 'complication'?","Noun, C1"
"What does 'appropriately' mean?","In a manner that is suitable or proper in the circumstances."
"What does 'arbitrary' mean?","Based on random choice or personal whim, rather than any reason or system."
"What does 'architectural' mean?","Relating to the art or practice of designing and constructing buildings."
"What is an 'archive'?","A collection of historical documents or records."
"What is an 'arena'?","A level area surrounded by seats for spectators, used for sports or other events."
"What does 'arguably' mean?","It may be argued (used to qualify the statement of an opinion)."
"What does 'arm' mean?","To supply with weapons."
"What is an 'array'?","An ordered arrangement of items."
"What is an 'arrow'?","A weapon consisting of a long, thin stick with a sharp point, shot from a bow."
"What does 'articulate' mean?","To express an idea or feeling fluently and coherently."
"What is 'artwork'?","A painting, sculpture, or other piece of creative work."
"What is 'ash'?","The powdery residue left after the combustion of a substance."
"What does 'aside' mean?","To one side; out of the way."
"What is 'aspiration'?","A hope or ambition of achieving something."
"What does 'aspire' mean?","To direct one's hopes or ambitions toward achieving something."
"What is 'assassination'?","The action of assassinating someone."
"What does 'assault' mean?","A physical attack."
"What does 'assemble' mean?","To gather together in one place for a common purpose."
"What is an 'assembly'?","A group of people gathered together in one place for a common purpose."
"What does 'assert' mean?","To state a fact or belief confidently and forcefully."
"What is an 'assertion'?","A confident and forceful statement of fact or belief."
"What is an 'asset'?","A useful or valuable thing, person, or quality."
"What does 'assign' mean?","To allocate a job or responsibility to someone."
"What is 'assistance'?","The action of helping someone with a job or task."
"What does 'assumption' mean?","A thing that is accepted as true or as certain to happen, without proof."
"What is 'assurance'?","A positive declaration intended to give confidence."
"What does 'assure' mean?","To tell someone something positively to dispel any doubts."
"What is 'asylum'?","The protection granted by a nation to someone who has left their native country as a political refugee."
"What is an 'atrocity'?","An extremely wicked or cruel act, typically involving violence or injury."
"What is an 'attachment'?","An extra part or extension that is or can be attached to something to perform a particular function."
"What does 'attain' mean?","To succeed in achieving something."
"What is 'attendance'?","The action or state of going regularly to a place, especially to a school or event."
"What is an 'attorney'?","A person appointed to act for another in business or legal matters."
"What does 'attribute' mean?","To regard something as being caused by someone or something."
"What is an 'auction'?","A public sale in which goods or property are sold to the highest bidder."
"What does 'audio' mean?","Related to sound."
"What is an 'audit'?","An official inspection of an organization's accounts."
"What does 'authentic' mean?","Of undisputed origin; genuine."
"What does 'authorize' mean?","To give official permission for or approval to."
"What is 'auto'?","Short for automobile; a car."
"What is the meaning of 'comply'?","Verb, C1"
"What does 'automatic' mean?","Working by itself with little or no direct human control."
"What does 'automatically' mean?","In a way that happens by itself without human intervention."
"What is 'autonomy'?","The right or condition of self-government."
"What is 'availability'?","The state of being able to be used or obtained."
"What does 'await' mean?","To wait for something."
"What is 'awareness'?","Knowledge or perception of a situation or fact."
"What does 'awkward' mean?","Causing difficulty; hard to deal with."
"What is a 'backdrop'?","A painted cloth hung at the back of a stage set."
"What is 'backing'?","Support or help."
"What is a 'backup'?","A person or thing that can be called on to help in an emergency."
"What is a 'badge'?","A small piece of metal, plastic, or cloth that has a design or words on it."
"What is 'bail'?","The temporary release of an accused person awaiting trial."
"What does 'balanced' mean?","Having different elements in the correct proportions."
"What is 'ballet'?","A highly technical form of dance with its own vocabulary."
"What is a 'balloon'?","A flexible bag that can be inflated with air or gas."
"What is a 'ballot'?","A process of voting, in writing and typically in secret."
"What is a 'banner'?","A long strip of cloth bearing a slogan or design."
"What does 'bare' mean?","Lacking clothing or covering; exposed."
"What does 'barely' mean?","Only just; almost not."
"What is a 'bargain'?","An agreement between two or more parties as to what each party will do for the other."
"What is a 'barrel'?","A cylindrical container, typically made of wooden staves, with a flat top and bottom."
"What is a 'basement'?","The floor of a building that is below ground level."
"What is a 'basket'?","A container used to hold or carry things, typically made of woven materials."
"What is 'bass'?","A type of fish or a low, deep voice or sound."
"What is a 'bat'?","A nocturnal flying mammal or a piece of equipment used in sports."
"What is a 'battlefield'?","The location of a battle."
"What is a 'bay'?","A broad inlet of the sea where the land curves inward."
"What is a 'beam'?","A long, sturdy piece of squared timber or metal used to support the roof or floor of a building."
"What is a 'beast'?","An animal, especially a large or dangerous one."
"What does 'behalf' mean?","In the interest of; as a representative of."
"What does 'beloved' mean?","Dearest; loved very much."
"What is a 'bench'?","A long seat for several people."
"What is a 'benchmark'?","A standard or point of reference against which things may be compared or assessed."
"What does 'beneath' mean?","At a lower level or layer than."
"What does 'beneficial' mean?","Resulting in good; favorable or advantageous."
"What is a 'beneficiary'?","A person who derives advantage from something, especially a trust, will, or life insurance policy."
"What does 'beside' mean?","At the side of; next to."
"What does 'besides' mean?","In addition to; apart from."
"What does 'betray' mean?","To expose someone to danger by treachery or disloyalty."
"What is 'bias'?","Prejudice in favor of or against one thing, person, or group compared with another."
"What is a 'bid'?","An offer of a price, especially at an auction."
"What does 'bind' mean?","To tie or fasten something tightly together."
"What is a 'biography'?","An account of someone's life written by someone else."
"What does 'biological' mean?","Relating to biology or living organisms."
"What is a 'bishop'?","A senior member of the Christian clergy, typically in charge of a diocese."
"What does 'bizarre' mean?","Very strange or unusual."
"What is a 'blade'?","The flat cutting edge of a knife, saw, or other tool or weapon."
"What is a 'blanket'?","A large piece of woolen or similar material used as a covering."
"What does 'blast' mean?","A strong gust of wind or a sudden loud noise."
"What does 'bleed' mean?","To lose blood as a result of injury."
"What does 'blend' mean?","To mix different substances together."
"What does 'bless' mean?","To confer or invoke divine favor upon."
"What is a 'blessing'?","God's favor and protection."
"What is a 'blow'?","A hard hit or strike."
"What does 'boast' mean?","To talk with pride about one's achievements or possessions."
"What does 'bold' mean?","Showing courage; confident and courageous."
"What is 'bombing'?","The act of dropping bombs on a target."
"What is a 'bonus'?","An extra payment or reward."
"What is 'booking'?","The act of reserving accommodation, tickets, etc."
"What is a 'boom'?","A period of rapid economic growth."
"What does 'boost' mean?","To increase or improve something."
"What does 'bounce' mean?","To spring back after hitting a surface."
"What does 'bound' mean?","To be under obligation to do something."
"What is a 'boundary'?","A line that marks the limits of an area."
"What does 'bow' mean?","To bend the upper part of the body forward as a gesture of respect."
"What does 'breach' mean?","An act of breaking or failing to observe a law, agreement, or code of conduct."
"What is a 'breakdown'?","A failure to function or be successful."
"What is a 'breakthrough'?","A significant and dramatic discovery or development."
"What does 'breed' mean?","To produce offspring, typically in a controlled environment."
"What is a 'brick'?","A small rectangular block typically made of fired or sun-dried clay, used in building."
"What does 'briefly' mean?","For a short time; in a few words."
"What is 'broadband'?","A high-capacity transmission technique using a wide range of frequencies."
"What is a 'broadcaster'?","A person or organization that transmits information by radio or television."
"What does 'broadly' mean?","In general terms; without considering specific examples."
"What is a 'browser'?","A program used to access the internet."
"What does 'brutal' mean?","Savage; cruel."
"What is a 'buck'?","A male deer."
"What is a 'buddy'?","A close friend."
"What is a 'buffer'?","A person or thing that prevents incompatible or antagonistic people or things from harming each other."
"What is a 'bug'?","An error in a computer program or system."
"What is 'bulk'?","The mass or size of something large."
"What is a 'burden'?","A load, typically a heavy one."
"What is 'bureaucracy'?","A system of government in which most of the important decisions are made by state officials rather than by elected representatives."
"What is 'burial'?","The act of placing a dead body in a grave."
"What does 'burst' mean?","To break open or apart suddenly and violently."
"What is a 'cabin'?","A small shelter or house, usually made of wood."
"What is a 'cabinet'?","A body of advisers to the president, consisting of the heads of the executive departments of the government."
"What is a 'calculation'?","A mathematical determination of a size or number."
"What is a 'canal'?","An artificial waterway constructed to allow the passage of boats or ships inland or to convey water for irrigation."
"What is a 'candle'?","A cylinder of wax with a central wick that is burned to provide light."
"What is a 'canvas'?","A strong, heavy cloth used for making tents, sails, and paintings."
"What is 'capability'?","The power or ability to do something."
"What is 'capitalism'?","An economic system in which private individuals or businesses own capital goods."
